From Bank,Account,To Bank,Account.1,Amount Received,Amount Paid,Payment Format,Year,Month
010,8000ADG78,010,8000VAB99,128.85,185.48,Wire,2022,10
010,8000PSU00,010,8000GGF12,319.04,200.4,ACH,2021,2
010,8000WBF00,03208,8000RWJ70,240.73,352.6,ACH,2022,5
03208,8000VIE16,010,8000TUF62,250.12,195.65,Reinvestment,2021,5
03208,8000ZNX55,010,8000IHY13,415.67,237.25,Bitcoin,2023,6
010,8000RUT97,03208,8000QIX21,461.61,412.39,Wire,2022,11
03208,8000XFN58,03208,8000WSF85,166.28,346.66,Cash,2021,6
010,8000MUK58,010,8000ZYR28,211.59,142.69,Reinvestment,2021,6
010,8000URA15,03208,8000IWP33,289.09,254.04,Wire,2023,9
03208,8000GBW93,03208,8000IMB61,145.15,179.19,Reinvestment,2023,4
010,8000KVB61,03208,8000RNV57,254.62,318.19,Credit Card,2023,3
03208,8000HVB04,010,8000WWQ34,220.84,479.55,ACH,2021,4
03208,8000MWS61,03208,8000VRY27,468.79,299.63,Wire,2022,9
03208,8000ZKP30,010,8000GYU95,179.41,433.93,ACH,2021,7
03208,8000MDA66,010,8000TTD05,388.48,371.76,Wire,2022,4
03208,8000COJ37,03208,8000FGG57,186.36,284.35,Bitcoin,2023,11
03208,8000MWP46,03208,8000VRO69,350.26,465.68,Bitcoin,2022,2
010,8000IDR67,03208,8000SFU97,332.8,489.12,ACH,2023,11
03208,8000DXU98,010,8000FXX86,283.49,478.76,Cash,2023,9
03208,8000RVN71,010,8000GUP93,426.76,451.41,Cash,2022,4
010,8000ULT47,03208,8000ZWS61,189.09,396.19,Wire,2023,8
010,8000BBY49,03208,8000JFG56,290.91,466.84,ACH,2023,7
03208,8000YRO20,03208,8000UOO18,492.97,177.59,Wire,2021,11
010,8000VXU64,010,8000EQB24,173.3,448.84,Cheque,2023,2
010,8000HCL59,010,8000FXZ78,318.17,300.27,ACH,2022,4
03208,8000YKC77,010,8000JYN93,217.24,158.13,Bitcoin,2023,11
03208,8000ALR09,03208,8000KBP75,149.52,297.3,Wire,2022,5
010,8000ZSC03,010,8000ROC71,440.64,115.53,Cheque,2023,12
03208,8000AJA98,03208,8000CYX64,331.07,462.54,Bitcoin,2023,11
010,8000BXF26,03208,8000CPL17,331.53,203.45,Credit Card,2023,12
010,8000YDA30,03208,8000BZP75,318.13,206.79,Cheque,2021,4
03208,8000PWE13,010,8000DCM55,173.79,277.49,Bitcoin,2022,7
010,8000YDZ34,03208,8000HMN69,327.45,175.66,ACH,2023,12
010,8000HYY61,03208,8000BJE34,136.56,470.57,ACH,2022,2
010,8000ZCP18,010,8000WCS33,373.06,375.84,Credit Card,2022,10
03208,8000YUI27,03208,8000ILW25,120.58,371.54,Cash,2023,6
03208,8000HKB10,03208,8000ASU03,175.66,466.74,Bitcoin,2023,11
010,8000CBK57,010,8000RKW32,217.69,152.87,Reinvestment,2023,9
03208,8000DKQ04,03208,8000LIK27,211.57,204.11,ACH,2022,8
010,8000JYB44,010,8000CAL21,424.84,366.62,Bitcoin,2023,9
010,8000SIF24,03208,8000YHN26,215.1,375.28,Cash,2022,11
010,8000YUH56,03208,8000VXV28,129.58,433.48,Credit Card,2023,4
010,8000ULK74,03208,8000GSD46,127.19,391.05,Bitcoin,2021,8
010,8000GLY14,010,8000MHS83,159.77,116.62,Credit Card,2022,8
03208,8000QMF06,010,8000JKW83,257.68,349.43,Credit Card,2021,5
010,8000QAH76,010,8000MFM16,178.73,414.11,Reinvestment,2021,4
03208,8000OES46,03208,8000JVL12,194.01,447.43,Bitcoin,2022,3
010,8000TGT29,03208,8000LCY03,173.59,448.72,Reinvestment,2022,3
03208,8000DWB25,010,8000OLV71,219.49,177.61,ACH,2022,11
03208,8000PKC22,03208,8000MWM36,301.94,197.98,ACH,2021,11
03208,8000TXP07,010,8000ZUP61,488.54,341.28,Wire,2022,7
03208,8000HIN29,010,8000OXT77,416.8,286.66,Cash,2023,2
03208,8000EKH55,010,8000FXO98,169.01,243.89,Bitcoin,2021,9
010,8000QNK64,010,8000WIM04,421.14,486.11,Cheque,2022,12
03208,8000UUH36,03208,8000GBL40,384.04,185.89,Cash,2021,5
03208,8000ESJ51,03208,8000BYG83,462.32,440.43,ACH,2023,11
03208,8000RJM44,010,8000SVP00,273.88,342.16,Bitcoin,2022,4
03208,8000SIQ03,03208,8000TRT99,446.84,378.16,Credit Card,2023,5
010,8000TBQ04,010,8000BSF08,379.24,409.55,Credit Card,2022,6
03208,8000XAN08,03208,8000XIC35,209.24,288.46,Cash,2023,11
03208,8000RTR00,03208,8000YHW15,255.91,489.8,Cheque,2023,11
010,8000QZW67,03208,8000WWZ70,435.39,292.17,Reinvestment,2023,10
010,8000FTH14,03208,8000SOB33,423.08,213.06,Cash,2021,7
03208,8000IEK84,010,8000CYM01,198.2,462.49,ACH,2021,10
010,8000LSN19,03208,8000RLK52,434.51,293.2,Cash,2023,2
010,8000LUK83,010,8000NIZ67,478.3,471.4,Wire,2021,8
010,8000FFY50,010,8000VTX91,451.11,312.4,Reinvestment,2022,8
010,8000KGC10,010,8000UWZ14,252.52,190.61,Credit Card,2022,8
03208,8000QEP67,03208,8000CGF63,316.46,237.56,ACH,2022,6
03208,8000NHW34,010,8000DHK13,438.38,492.83,Credit Card,2023,11
010,8000QNY99,010,8000USL84,386.56,184.02,Cheque,2023,8
010,8000YPM72,010,8000BID30,383.64,244.98,Cheque,2021,6
03208,8000GBE06,03208,8000JQU71,214.1,215.37,Reinvestment,2021,1
010,8000DUR93,03208,8000HST46,344.32,386.4,Credit Card,2022,1
03208,8000XLI18,010,8000ZQD92,121.78,192.69,Reinvestment,2022,4
03208,8000UIL30,03208,8000JMY40,218.86,432.7,Cash,2022,9
03208,8000BJF51,010,8000LFD86,181.12,483.44,Reinvestment,2022,9
03208,8000FRT38,010,8000VKE56,254.81,266.6,Reinvestment,2023,2
010,8000GIS09,03208,8000ALJ26,395.29,297.37,Bitcoin,2022,9
010,8000BLS08,03208,8000CNU35,204.22,414.7,Bitcoin,2023,3
010,8000ZLD00,010,8000HNT80,171.57,276.6,Bitcoin,2021,5
03208,8000TKX40,03208,8000NCO95,436.81,127.82,Credit Card,2021,5
010,8000LTV01,010,8000CZH22,466.04,317.48,ACH,2023,10
03208,8000MDW93,010,8000HTH64,278.49,308.88,Cash,2023,8
03208,8000LOH52,010,8000WIJ99,197.8,267.69,Cheque,2023,1
03208,8000HLP52,03208,8000GTM11,200.95,215.8,Credit Card,2023,2
010,8000GDU07,03208,8000SPU06,266.47,197.73,Cheque,2023,4
03208,8000GHT67,010,8000NGC42,420.98,314.03,ACH,2021,12
010,8000NWD61,010,8000YLU61,324.59,162.61,ACH,2022,5
010,8000TJR76,010,8000FMZ96,330.93,151.87,Cheque,2021,10
03208,8000FVG56,010,8000CAX27,491.26,296.19,Cheque,2023,4
010,8000GQH18,010,8000TUR75,131.07,246.69,ACH,2021,11
03208,8000OIP01,010,8000NJZ24,290.01,412.75,Credit Card,2022,1
03208,8000KZN07,03208,8000IGV74,291.76,256.76,Reinvestment,2021,8
010,8000UUO62,03208,8000CPI40,321.59,463.25,Bitcoin,2022,3
010,8000TVT35,010,8000IFC07,167.18,161.81,Cheque,2021,1
03208,8000QXC85,010,8000YSB35,167.57,465.19,Cheque,2021,6
010,8000JLA26,010,8000NUH24,266.18,170.12,ACH,2021,3
03208,8000RMY43,010,8000SLK82,342.49,192.35,Credit Card,2022,11
010,8000WGP78,03208,8000MAP33,221.12,185.99,Cheque,2021,5
03208,8000UJB07,010,8000WMT21,299.01,413.46,Cheque,2021,5
010,8000ZIL76,03208,8000BHB27,494.7,267.97,Wire,2022,9
03208,8000GRH35,010,8000GDS56,112.17,440.92,Cash,2021,3
010,8000TDA60,03208,8000ZMN72,286.35,362.42,Cash,2023,12
03208,8000BFR00,010,8000WNM87,289.56,143.12,ACH,2022,4
010,8000ZKX24,010,8000REF32,376.72,110.29,Cash,2021,9
010,8000JEI97,010,8000VCF07,206.56,335.91,Cash,2021,7
010,8000JKG57,010,8000XIN75,419.97,457.64,Wire,2022,6
03208,8000RMB94,010,8000TBX34,260.4,189.41,Reinvestment,2023,7
010,8000KAD85,010,8000EBR09,138.06,278.44,Bitcoin,2022,5
03208,8000TDI88,03208,8000OUA30,352.02,117.91,Credit Card,2023,4
010,8000GAU17,010,8000MNX16,110.56,293.29,Wire,2023,11
03208,8000REC95,010,8000YYT58,386.72,419.86,Reinvestment,2023,9
010,8000QLD62,010,8000KOH56,104.86,291.73,Cash,2023,5
010,8000UTA90,03208,8000ILK68,338.67,273.58,ACH,2021,6
010,8000CHD23,010,8000PZU58,448.36,197.68,Reinvestment,2021,3
010,8000TKH43,03208,8000GTY11,379.36,313.85,Reinvestment,2023,4
010,8000IXO97,010,8000UFI09,349.74,436.12,Cash,2022,1
03208,8000OGR47,03208,8000QHR24,272.72,319.41,Cash,2022,6
010,8000KMA70,03208,8000PDX38,234.48,217.3,ACH,2023,10
010,8000RPU26,03208,8000QLO64,248.12,415.05,Wire,2022,4
03208,8000FNI99,010,8000NEU55,250.01,143.91,ACH,2023,3
010,8000FOI99,03208,8000UQB03,311.95,114.27,Cash,2021,4
010,8000PSR39,03208,8000IRP26,157.33,179.48,Bitcoin,2021,5
010,8000XIT08,03208,8000LMP03,452.75,312.2,Wire,2022,4
03208,8000OYJ63,03208,8000QOR76,350.35,218.64,Cheque,2022,9
010,8000UPZ01,03208,8000JVM19,249.77,373.04,Cheque,2021,8
010,8000BDY94,010,8000HZT56,492.88,436.64,Wire,2021,7
03208,8000YVU71,03208,8000VWB61,449.01,227.06,Credit Card,2022,5
010,8000OLY11,010,8000ATM43,342.73,400.61,Credit Card,2023,6
03208,8000REC57,010,8000PGN48,248.7,197.52,Cash,2022,9
010,8000PTG24,010,8000NWO58,247.64,428.65,Bitcoin,2022,12
010,8000ZSY55,010,8000YXE32,126.68,469.47,ACH,2023,3
03208,8000ZEU78,03208,8000MJQ42,237.01,259.96,Cheque,2023,11
03208,8000TER95,010,8000KMI46,198.27,135.47,Wire,2023,7
010,8000JYO46,010,8000JTQ99,343.42,261.71,ACH,2021,2
010,8000UFA59,03208,8000XIT56,388.07,249.22,Cash,2021,4
010,8000RQQ47,03208,8000STD09,216.97,303.78,Bitcoin,2023,12
03208,8000GXH99,010,8000OFB02,318.46,299.24,Bitcoin,2021,8
03208,8000CLT45,03208,8000HBD69,414.83,449.98,ACH,2022,7
010,8000USY19,010,8000PVO14,356.76,347.77,Credit Card,2023,8
010,8000YQY28,010,8000KQM03,397.46,130.78,Cash,2023,11
010,8000UPC00,03208,8000ESR44,187.23,362.18,Bitcoin,2022,8
010,8000GTK76,03208,8000MQO81,354.02,414.18,Bitcoin,2021,8
010,8000KWA48,03208,8000AWM06,209.51,161.93,ACH,2022,3
03208,8000DSI04,03208,8000XGL45,192.3,184.58,ACH,2023,7
010,8000NBO30,010,8000VWX76,208.37,464.02,Reinvestment,2023,10
03208,8000ECO09,010,8000CKT84,246.61,481.81,Bitcoin,2021,1
010,8000VYI99,03208,8000MZP06,288.38,138.26,Reinvestment,2021,9
010,8000THR54,03208,8000FJG98,191.7,470.68,Wire,2022,11
010,8000HBD14,010,8000THX98,239.99,499.74,Wire,2022,10
03208,8000QTB80,010,8000EOB16,458.6,286.74,Credit Card,2021,5
03208,8000OTQ93,010,8000HFE71,153.85,431.95,ACH,2023,8
03208,8000PCO82,03208,8000FVT06,186.29,177.57,Cheque,2022,1
010,8000GSG29,03208,8000QZG01,124.28,291.35,Credit Card,2022,10
010,8000ZEX50,03208,8000JHA19,383.55,144.56,Reinvestment,2021,8
03208,8000PQA78,03208,8000TGU21,311.76,379.66,Reinvestment,2022,11
03208,8000BQL24,010,8000BVG39,289.73,253.17,Cheque,2023,8
03208,8000EIR45,03208,8000FAG06,113.77,158.49,Cheque,2021,8
03208,8000OVI80,010,8000SWR77,484.54,188.77,Reinvestment,2022,2
010,8000LJL85,010,8000NXK25,437.63,152.48,Credit Card,2021,3
010,8000ZWD30,03208,8000XJU97,428.15,240.51,Wire,2022,8
010,8000TAX14,03208,8000MNJ13,450.09,437.4,Cheque,2022,4
03208,8000BIK07,03208,8000CIG62,410.81,285.69,Cash,2021,2
03208,8000SJV00,010,8000BRX64,155.78,367.65,ACH,2022,12
010,8000JXT65,03208,8000GXO17,488.6,482.24,Cash,2022,6
03208,8000UKA81,010,8000XKM47,473.49,378.53,Credit Card,2021,2
010,8000KJD31,010,8000PTC03,378.43,197.13,Reinvestment,2022,1
010,8000QQA45,03208,8000YIE87,216.8,132.46,ACH,2021,2
03208,8000WMC08,03208,8000ZMR21,100.44,428.96,Bitcoin,2023,4
010,8000UWG60,03208,8000UPO66,294.34,211.7,Credit Card,2022,10
03208,8000VIY40,010,8000WIX05,337.92,350.82,Credit Card,2021,11
03208,8000XQH03,03208,8000MLB65,497.59,467.07,Cash,2021,11
03208,8000EOD19,010,8000NGW25,153.17,310.52,Cheque,2022,7
03208,8000QGW69,03208,8000WUB44,135.53,306.15,ACH,2022,2
010,8000MXR02,010,8000ZJG34,270.53,253.1,Cheque,2023,12
010,8000HEG28,010,8000NLV45,400.38,295.35,Bitcoin,2023,9
010,8000MWD50,010,8000RJG19,236.03,370.8,ACH,2023,2
03208,8000YAK89,03208,8000FWI41,364.94,347.95,Cheque,2023,6
03208,8000AVN07,03208,8000TMI78,455.78,447.72,Credit Card,2023,3
03208,8000CPU63,010,8000XJT06,417.26,495.88,Wire,2023,5
010,8000ALX32,010,8000WGY25,140.64,267.7,Credit Card,2022,2
03208,8000DNN04,010,8000JGZ12,278.43,492.04,Wire,2023,5
03208,8000RZL44,010,8000KPP21,115.2,365.88,Cheque,2022,11
03208,8000FKQ35,010,8000TRD94,167.46,396.32,Bitcoin,2023,2
03208,8000VZX30,010,8000FAW73,408.28,257.8,Bitcoin,2023,12
010,8000PMG03,010,8000GPU62,169.64,384.86,ACH,2023,8
010,8000UZC80,010,8000RTL59,323.53,432.84,ACH,2023,3
03208,8000SAK83,010,8000MLV52,345.99,340.51,Bitcoin,2023,7
03208,8000YSP13,03208,8000AKL41,162.65,147.53,Cheque,2023,2
010,8000KPZ25,03208,8000BGF05,465.93,333.69,ACH,2021,9
010,8000YIQ76,03208,8000IFD80,123.4,190.89,Wire,2022,12
010,8000TFY15,03208,8000TVT49,467.69,266.79,Wire,2023,3
03208,8000HQH46,010,8000SGL99,145.52,279.59,Cheque,2022,9
03208,8000GSJ16,03208,8000DQP94,460.35,381.93,Credit Card,2022,4
010,8000ELK07,03208,8000BGL76,247.16,268.19,Wire,2022,10
03208,8000RUO51,03208,8000MPC78,415.94,301.57,Credit Card,2021,10
03208,8000FFN83,03208,8000EXU79,257.7,146.8,ACH,2021,9
03208,8000WTS31,010,8000NIZ29,393.26,372.83,Bitcoin,2021,6
03208,8000ZWK88,03208,8000PSJ52,440.96,124.93,Reinvestment,2021,9
03208,8000INI69,010,8000BIW76,310.18,225.05,Cheque,2022,7
010,8000ZTH89,010,8000BZY48,260.86,366.03,Credit Card,2021,11
010,8000JYN99,03208,8000VDU10,257.85,220.5,Wire,2023,11
010,8000VRE05,010,8000CAG93,122.64,103.08,Wire,2022,7
03208,8000SYN66,010,8000ATQ90,105.93,277.35,Cash,2023,11
010,8000FQZ16,010,8000INS41,397.43,359.91,Cheque,2022,11
03208,8000PJU08,03208,8000GPY78,266.16,438.69,Cash,2022,8
010,8000VMC45,010,8000ZTB35,160.44,455.8,Cash,2023,8
03208,8000GMU95,03208,8000VBI84,448.61,198.09,Wire,2023,9
03208,8000VCW91,010,8000RBX43,355.11,481.71,Credit Card,2021,6
010,8000VWW56,03208,8000SNL71,289.8,248.86,Bitcoin,2023,2
010,8000FSK01,03208,8000AJH92,242.79,117.64,Cheque,2023,5
010,8000KXO99,03208,8000LCY22,237.9,223.64,Wire,2023,12
03208,8000CPI54,03208,8000HZU09,248.57,170.02,Bitcoin,2021,11
010,8000MCV46,03208,8000XAH33,454.62,208.58,ACH,2023,12
010,8000MEO18,010,8000EVY63,251.44,321.93,Bitcoin,2022,10
03208,8000VDB03,03208,8000FAO38,107.73,338.21,Reinvestment,2021,6
03208,8000YOG21,010,8000LVH48,157.97,160.83,Reinvestment,2022,9
03208,8000DVD88,03208,8000CSL86,238.48,257.3,Credit Card,2022,3
03208,8000DOA85,03208,8000RCC75,166.54,348.31,Reinvestment,2021,7
010,8000TMR95,010,8000HIT86,429.19,309.63,Cash,2022,10
03208,8000WIC02,03208,8000BZS25,499.49,323.15,Bitcoin,2021,7
010,8000VIF49,010,8000VDP48,233.67,465.83,ACH,2023,9
010,8000NIC52,010,8000LAJ59,294.07,386.68,Cash,2022,11
010,8000JJT29,03208,8000ZBS84,119.05,220.66,Wire,2023,11
010,8000TMW33,03208,8000LEL04,177.79,292.49,Wire,2021,7
03208,8000DUK54,010,8000FGQ91,191.62,140.38,ACH,2022,8
03208,8000RJX43,010,8000ZKW00,254.99,219.16,ACH,2022,3
03208,8000KTZ84,03208,8000OEZ25,430.57,475.16,Cheque,2021,2
010,8000HLI21,010,8000MZF39,259.68,377.39,Cash,2022,9
03208,8000YMC33,010,8000SLW88,396.57,496.55,Credit Card,2023,2
010,8000NZZ56,03208,8000ZEF31,311.44,267.04,Cheque,2022,4
010,8000RNM36,03208,8000EAB45,365.46,310.37,ACH,2021,12
03208,8000CIX29,010,8000AHJ55,178.89,485.71,Wire,2021,5
03208,8000ZOB02,03208,8000JSW14,115.52,348.57,Wire,2023,5
03208,8000ICU32,010,8000NMF91,198.67,283.29,Cash,2022,9
03208,8000BJA16,03208,8000OVB51,140.49,392.28,Cheque,2021,4
03208,8000YFT10,010,8000YAJ12,381.07,349.96,ACH,2022,7
03208,8000XVB12,010,8000DQW84,327.69,487.79,Credit Card,2021,2
010,8000YJU43,010,8000LBJ89,417.48,482.18,Bitcoin,2021,4
010,8000TQH57,03208,8000QCJ53,261.04,418.8,Reinvestment,2023,3
03208,8000VRQ50,03208,8000YCN98,204.2,201.53,Bitcoin,2022,12
03208,8000YSH66,010,8000ZEK91,444.42,337.08,Credit Card,2023,10
03208,8000RJO62,03208,8000ATO83,326.21,475.4,Cheque,2022,3
03208,8000NDC91,03208,8000IDM39,289.16,100.64,Bitcoin,2023,1
03208,8000XML34,03208,8000JCW50,456.54,142.29,Reinvestment,2023,1
03208,8000JOI82,010,8000CPT07,239.13,287.22,Reinvestment,2022,12
03208,8000GMY07,010,8000UYZ36,263.56,358.57,Wire,2023,5
03208,8000AKT44,010,8000LFA26,202.98,151.33,Cheque,2021,2
03208,8000GMF26,010,8000NNI87,153.08,233.94,Cash,2022,10
03208,8000PYZ50,03208,8000JVP95,328.36,105.21,Reinvestment,2023,10
010,8000HNR91,03208,8000YRS20,468.54,399.26,Bitcoin,2022,12
010,8000AWU74,010,8000JBY69,359.52,180.72,Cash,2022,11
010,8000RKE37,010,8000AAC82,365.54,435.21,Cash,2023,9
010,8000UYX65,010,8000TIJ52,443.37,324.42,Wire,2021,12
03208,8000SEY75,03208,8000QUD86,380.05,354.93,Cheque,2022,12
03208,8000LQQ85,03208,8000IPB33,250.38,171.7,Wire,2022,7
03208,8000FLG98,010,8000PZW81,421.33,174.14,Reinvestment,2023,3
010,8000OFB14,010,8000GZB50,149.6,236.31,Credit Card,2023,6
03208,8000RFR87,010,8000MKZ24,448.59,471.14,ACH,2023,4
03208,8000LQZ83,03208,8000CUH99,303.66,149.14,ACH,2021,4
03208,8000REO34,03208,8000GAB27,318.33,309.35,Cheque,2021,4
03208,8000LRV41,03208,8000WAP43,469.07,199.72,Wire,2023,2
03208,8000TTY34,03208,8000TYQ86,373.07,391.99,Cheque,2023,5
03208,8000OXS02,010,8000PUS61,131.27,224.08,Cash,2021,12
03208,8000WPW42,03208,8000WEF81,201.16,494.16,Cheque,2022,3
010,8000AZD64,010,8000WJY14,384.31,304.77,Cheque,2022,12
010,8000JNC94,010,8000RJO88,137.25,283.37,Wire,2021,1
010,8000AKT37,010,8000XUZ21,204.52,422.84,Cash,2022,3
010,8000TGZ08,03208,8000IDT38,205.47,270.5,Cheque,2022,7
03208,8000NDG52,010,8000VIM91,383.08,444.53,Cash,2022,7
03208,8000VFJ53,03208,8000DVY30,120.65,492.17,Cheque,2023,7
010,8000VGC16,010,8000JNQ79,237.99,228.15,Credit Card,2022,12
03208,8000OBZ43,010,8000QWU46,270.55,449.75,Wire,2023,11
010,8000SAL69,010,8000RNK21,129.32,381.04,Cash,2021,11
010,8000TXD40,03208,8000NNC64,283.36,237.89,ACH,2023,7
03208,8000HJI38,03208,8000IPL52,312.56,492.8,Reinvestment,2021,1
010,8000EVO35,03208,8000CBM82,488.33,459.5,Bitcoin,2023,6
03208,8000EMA83,010,8000KNC41,449.41,240.96,Cheque,2022,2
010,8000IZP47,03208,8000PKM36,472.22,472.16,Reinvestment,2021,11
03208,8000BON85,010,8000TBW91,208.29,389.66,Cash,2022,1
010,8000MNU35,03208,8000HYD75,160.07,324.5,Wire,2022,1
010,8000SZS93,010,8000PMS92,355.4,210.03,Bitcoin,2023,2
010,8000PTJ29,010,8000HZQ74,180.61,219.32,Reinvestment,2023,2
010,8000JZW28,03208,8000WVO56,334.59,241.19,Cheque,2022,6
03208,8000ZHR70,03208,8000BXF39,178.29,468.83,Bitcoin,2022,9
03208,8000VIS90,010,8000CPK47,126.06,325.76,Cheque,2022,12
03208,8000PHC79,010,8000EXE03,279.57,435.35,Credit Card,2023,8
010,8000NJL45,03208,8000XGX63,354.58,200.81,Wire,2021,12
03208,8000KCZ91,010,8000FXQ47,137.65,421.3,Reinvestment,2021,5
010,8000GLS08,03208,8000OOD79,319.89,101.75,Cash,2023,4
03208,8000QHW63,010,8000QOF48,274.73,319.63,ACH,2022,4
010,8000OZB78,03208,8000HUM53,202.1,450.63,Credit Card,2021,1
010,8000SDP74,010,8000ZQY98,168.75,201.65,Reinvestment,2023,10
010,8000PGI84,03208,8000TMU36,193.73,285.65,Credit Card,2021,9
010,8000LDJ52,010,8000LCF09,458.64,430.5,ACH,2021,3
03208,8000VJG38,03208,8000ROS89,112.75,111.03,Bitcoin,2021,3
03208,8000XYA75,03208,8000SSG87,158.99,147.17,Bitcoin,2023,10
03208,8000DGH44,03208,8000PYZ10,307.27,346.45,ACH,2023,3
